"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"L2","CD32","73.582mm","41.867mm","73.582mm","41.867mm","73.582mm","40.417mm","T","90.00","4.7uH-DCR<0.1R-1.5A/ELL4LG2R2NA"
"L13","L_0603","13.2206mm","39.3888mm","13.2206mm","39.3888mm","13.2206mm","38.5633mm","B","90.00","600R-1.5A"
"L12","L_0603","26.3016mm","46.5008mm","26.3016mm","46.5008mm","25.4761mm","46.5008mm","T","360.00","600R-1.5A"
"J7","503480-0500","79.8454mm","24.0001mm","79.8454mm","24.0001mm","78.5204mm","23.0001mm","T","180.00","50340-08-0500"
"J6","WTB_SIDE_6PIN","27.3501mm","8.9999mm","29.2001mm","3.2999mm","25.5001mm","5.2499mm","B","90.00","CI1506M1HR0-NH"
"J4","FPC_CON8-KYOCERA","11.382mm","44.795mm","11.382mm","44.795mm","9.632mm","46.23mm","T","90.00","046298708220883+"
"J3","503480-0600","55.05mm","39.475mm","55.05mm","39.475mm","56.3mm","38.15mm","T","270.00","50340-08-0600"
"J2","BL-5C","11.45mm","4.923mm","11.45mm","4.923mm","13.7992mm","4.0679mm","B","160.00","BATTARY"
"J1","FPC_CON4-KYOCERA","75.3mm","8.025mm","75.3mm","8.025mm","74.55mm","9.46mm","T","90.00","046298704220883+"
"D5","SOD-123","55.8456mm","33.4008mm","55.8456mm","33.4008mm","55.8456mm","34.9258mm","T","90.00","RSA5M"
"D4","0201","75.3858mm","36.703mm","75.3858mm","36.703mm","75.3858mm","36.438mm","T","90.00","VS5V0BC1EST15R"
"D2","0201","72.3124mm","8.0772mm","72.3124mm","8.0772mm","72.3124mm","7.8122mm","T","90.00","VS5V0BC1EST15R"
"D15","0201","77.0876mm","26.6954mm","77.0876mm","26.6954mm","77.3526mm","26.6954mm","T","180.00","VS5V0BC1EST15R"
"D13","0201","82.9821mm","27.4179mm","82.9821mm","27.4179mm","82.9821mm","27.1529mm","T","90.00","VS5V0BC1EST15R"
"D12","PROGRAM_1/2","53.6316mm","21.9202mm","53.6316mm","21.9202mm","54.5816mm","21.9202mm","B","90.00","SS14/IN5819"
"C99","C_0402","16.7284mm","33.0687mm","16.7284mm","33.0687mm","17.082mm","33.4222mm","B","225.00","104"
"C98","C_0402","15.8455mm","23.9074mm","15.8455mm","23.9074mm","16.1991mm","24.261mm","B","225.00","104"
"C97","C_0402","17.5676mm","25.4439mm","17.5676mm","25.4439mm","17.2141mm","25.0903mm","B","45.00","104"
"C96","C_0402","17.0566mm","29.6905mm","17.0566mm","29.6905mm","16.703mm","29.3369mm","B","45.00","104"
"C95","C_0402","10.8589mm","32.0528mm","10.8589mm","32.0528mm","11.2125mm","31.6993mm","T","135.00","104"
"C94","C_0402","8.8015mm","30.0716mm","8.8015mm","30.0716mm","8.448mm","30.4252mm","T","315.00","104"
"C93","C_0402","8.0395mm","29.3096mm","8.0395mm","29.3096mm","7.686mm","29.6632mm","T","315.00","104"
"C92","C_0402","7.2775mm","28.5476mm","7.2775mm","28.5476mm","6.924mm","28.9012mm","T","315.00","104"
"C91","C_0402","6.5155mm","27.7856mm","6.5155mm","27.7856mm","6.162mm","28.1392mm","T","315.00","104"
"C90","C_0402","6.3885mm","26.3886mm","6.3885mm","26.3886mm","6.035mm","26.7422mm","T","315.00","104"
"C9","C_0402","21.971mm","12.0648mm","21.971mm","12.0648mm","21.471mm","12.0648mm","T","0.00","104"
"C89","C_0402","14.3896mm","30.5795mm","14.3896mm","30.5795mm","14.7431mm","30.933mm","B","225.00","104"
